nwb_id,path,size_mb,identifier
737549815,sub-737373545/sub-737373545_ses-737549815_icephys.nwb,19.8,e58bb6ee-7cea-4f55-9a62-28ba03ab37f4
737553491,sub-737373545/sub-737373545_ses-737553491_icephys.nwb,24.9,7dff0d14-9031-4c0f-943b-53a205216179
737791768,sub-737373545/sub-737373545_ses-737791768_icephys.nwb,19.2,3b3f0a33-9c10-4974-bd43-3485f186a845
737840111,sub-737373545/sub-737373545_ses-737840111_icephys.nwb,22.1,f1b34198-a6b2-414b-8aa5-ba419e529658
737933847,sub-737373545/sub-737373545_ses-737933847_icephys.nwb,24.8,090ddbe6-a006-45cf-a384-6aaaf921c8aa
738006440,sub-737373545/sub-737373545_ses-738006440_icephys.nwb,27.7,cea8fe1c-6b4c-42f9-9301-887799c3386d
740649886,sub-736890023/sub-736890023_ses-740649886_icephys.nwb,20.9,2bdad53b-bd4e-4480-a790-de4358d13770
751208631,sub-750786644/sub-750786644_ses-751208631_icephys.nwb,19.2,59f858a6-d875-4432-9b6c-7b2b702db54c
758285987,sub-758233315/sub-758233315_ses-758285987_icephys.nwb,32.7,5d39206e-092f-40d5-83e7-ffe187ec4a8d
758287092,sub-758233315/sub-758233315_ses-758287092_icephys.nwb,21.5,9ba70e34-e419-4a13-a42b-512a7c14c775
758308076,sub-758233315/sub-758233315_ses-758308076_icephys.nwb,35.7,a957d534-3d1e-4cbc-bcc3-3f53d26a56af
758308113,sub-758233315/sub-758233315_ses-758308113_icephys.nwb,35.5,81d7f7b6-695f-496a-b7f8-d4681b4c89da
758315706,sub-758233315/sub-758233315_ses-758315706_icephys.nwb,19.5,b1ee8781-f199-4cab-a971-c0d0eb6d87a0
758653998,sub-758233315/sub-758233315_ses-758653998_icephys.nwb,32.0,3f4046b5-344f-4876-a607-5d1e344a423b
758889296,sub-758233315/sub-758233315_ses-758889296_icephys.nwb,26.5,94692206-714e-47c2-aab2-755bfdb0fae6
758923864,sub-758233315/sub-758233315_ses-758923864_icephys.nwb,20.6,5f7b1dbe-e4f0-48a3-96d7-81dd9ef18f21
758978200,sub-758233315/sub-758233315_ses-758978200_icephys.nwb,20.9,30112380-df9d-4fae-ba8d-fc55ff1308da
758996702,sub-758233315/sub-758233315_ses-758996702_icephys.nwb,35.6,5383dd70-ebee-4158-a1b8-5fb00d250474
759263587,sub-750786644/sub-750786644_ses-759263587_icephys.nwb,27.4,1a6bddc5-612b-4422-a917-1f67de715a50
760004921,sub-759979832/sub-759979832_ses-760004921_icephys.nwb,21.2,44a95886-ec0d-424c-ad29-920ee272d399
760008240,sub-759979832/sub-759979832_ses-760008240_icephys.nwb,25.4,c1331f05-3892-494f-ac38-91480dc29a96
760011285,sub-759979832/sub-759979832_ses-760011285_icephys.nwb,25.1,18ab2c02-a4ec-4911-80a8-def500a57e47
760016169,sub-759979832/sub-759979832_ses-760016169_icephys.nwb,20.0,2ccb3bdc-30d0-4a1a-87f0-22fbf46b3a37
760398865,sub-760110174/sub-760110174_ses-760398865_icephys.nwb,31.5,97485532-81fa-482c-ba56-9076d70ac6b0
760475053,sub-760110174/sub-760110174_ses-760475053_icephys.nwb,75.9,a32ff891-2931-4c8d-9d9b-69ece5b9f10d
760672642,sub-758233315/sub-758233315_ses-760672642_icephys.nwb,19.2,c45ef65e-4383-4d88-98f9-0a5ed96a7de3
760676996,sub-758233315/sub-758233315_ses-760676996_icephys.nwb,19.3,d73ccabb-1bb8-4cfc-ad04-e5f676291bbc
760937374,sub-758233315/sub-758233315_ses-760937374_icephys.nwb,29.2,8db86047-7887-4e0c-bc25-80817361422d
760944910,sub-758233315/sub-758233315_ses-760944910_icephys.nwb,21.0,ebc61e98-7531-422e-bd07-42593ffc64b2
