,subclass_scANVI,subclass_conf_scANVI,supertype_scANVI,supertype_conf_scANVI
SM-J2NT9_S707_E1-50,Sst,1.0,Sst_13,0.8724333643913269
SM-J2NT9_S708_E1-50,L4 IT,0.9742372035980223,L4 IT_2,0.9968603849411012
SM-J2NT9_S709_E1-50,L4 IT,0.9999955892562866,L4 IT_2,0.9999912977218628
SM-J2NT9_S725_E1-50,Vip,1.0,Vip_13,0.9974989295005798
SM-J2NT9_S726_E1-50,L4 IT,0.999521017074585,L4 IT_2,0.661362886428833
SM-J2NT9_S727_E1-50,Vip,1.0,Vip_15,0.9999985694885254
SM-J2NT9_S728_E1-50,L2/3 IT,0.8170381188392639,L2/3 IT_1,0.9998319149017334
SM-J2NT9_S729_E1-50,Pax6,0.999988317489624,Pax6_4,0.8654912710189819
AB-S40305_S673_E1-50,L2/3 IT,1.0,L2/3 IT_6,0.9290940165519714
AB-S40305_S674_E1-50,Pvalb,0.9999614953994752,Pvalb_8,0.999996304512024
AB-S40305_S675_E1-50,L2/3 IT,0.9999569654464722,L2/3 IT_1,0.9991299510002136
SM-LNJMY_S397_E1-50,Pvalb,0.9999986886978148,Pvalb_15,1.0
SM-LNJMY_S398_E1-50,L2/3 IT,0.8043150901794434,L2/3 IT_10,0.5094718337059021
SM-IYWLH_S330_E1-50,Lamp5,0.946562886238098,Lamp5_2,0.8795887231826782
SM-IYWLH_S331_E1-50,Pax6,0.9986668825149536,Pax6_1,0.9807906150817872
SM-GE4RC_S020_E1-50,Sncg,0.7715202569961548,Sncg_5,0.9903597831726074
SM-GE4RC_S021_E1-50,L5 IT,0.7108720541000366,L5 IT_2,0.5754305124282837
SM-GE4RC_S022_E1-50,Lamp5,0.9895251989364624,Lamp5_6,0.9907761216163636
SM-GE4RC_S023_E1-50,Lamp5,0.92870831489563,Lamp5_1,0.6059799194335938
SM-GE4RC_S024_E1-50,Sst Chodl,0.9966499209403992,Sst Chodl_1,0.8789852261543274
SM-GE4RC_S025_E1-50,L2/3 IT,0.9990965127944946,L2/3 IT_1,0.6354419589042664
SM-GE4RC_S026_E1-50,Sncg,0.9963613152503968,Sncg_3,0.873867392539978
SM-GE4RC_S027_E1-50,L2/3 IT,0.4265052676200866,L2/3 IT_13,0.9147442579269408
SM-GE4RC_S028_E1-50,L4 IT,0.9905670285224916,L4 IT_2,0.9638913869857788
AB-S40302_S591_E1-50,L4 IT,0.614146888256073,L4 IT_1,0.995740294456482
AB-S40302_S592_E1-50,L2/3 IT,0.9790447354316713,L2/3 IT_1,0.9990689158439636
AB-S40302_S593_E1-50,Sst,0.9999997615814208,Sst_23,0.999996542930603
SM-GE8YR_S154_E1-50,L2/3 IT,1.0,L2/3 IT_1,0.9999971389770508
SM-GE8YR_S155_E1-50,Pvalb,1.0,Pvalb_15,0.9971209168434144
SM-GE8YR_S156_E1-50,Vip,0.8383165597915649,Vip_19,0.967282772064209
SM-GE8YR_S170_E1-50,Pvalb,0.5016212463378906,Pvalb_15,0.999902606010437
SM-GE8YR_S171_E1-50,L2/3 IT,0.9999970197677612,L2/3 IT_1,0.9442322850227356
SM-GE8YR_S174_E1-50,L4 IT,0.5871148705482483,L4 IT_2,0.9999698400497437
SM-GE8YR_S175_E1-50,Pvalb,0.2694705128669739,Pvalb_5,0.9158703684806824
SM-GE8YR_S191_E1-50,L2/3 IT,0.9999990463256836,L2/3 IT_5,0.996574640274048
