ses_id,path,size_mb,identifier
811932120,sub-811677083/sub-811677083_ses-811932120_icephys.nwb,28.1,838f2708-a4f0-48f9-bad9-ed275218c35f
811953264,sub-811677083/sub-811677083_ses-811953264_icephys.nwb,19.0,23666b66-2d4d-4b4e-a5f0-bbc39e898252
811956607,sub-811677083/sub-811677083_ses-811956607_icephys.nwb,24.5,e94ec562-22b8-40ee-bd41-7bd9bba28e44
811969040,sub-811677083/sub-811677083_ses-811969040_icephys.nwb,22.7,90120065-81ca-4c81-ab64-be93cee723a1
812021934,sub-811677083/sub-811677083_ses-812021934_icephys.nwb,33.1,50f262c9-90aa-4036-9fe5-e0f53a40f4b2
812033426,sub-811677083/sub-811677083_ses-812033426_icephys.nwb,41.4,939ed45a-2984-4e2f-9119-d061b71c1904
813695198,sub-813481439/sub-813481439_ses-813695198_icephys.nwb,62.1,ea8d4b09-3633-474b-938f-031a44148351
813703051,sub-813481439/sub-813481439_ses-813703051_icephys.nwb,55.4,e7053178-85dc-4d15-b0be-8be1e702ecf0
813730092,sub-813481439/sub-813481439_ses-813730092_icephys.nwb,22.3,684783d8-cf18-4bc2-ba57-dddd0c33aa72
832529152,sub-832340431/sub-832340431_ses-832529152_icephys.nwb,19.7,e140f25f-9f14-4b50-99a8-fdaa79d9cae9
832544177,sub-832340431/sub-832340431_ses-832544177_icephys.nwb,34.7,fb7f1509-d120-4a24-989d-3873812d328a
832565599,sub-832340431/sub-832340431_ses-832565599_icephys.nwb,37.0,3b39467f-2ec6-490b-a0a9-3fe8508e5902
832590194,sub-832340431/sub-832340431_ses-832590194_icephys.nwb,25.8,627f35b8-32be-4438-be24-b4257d63e399
832594509,sub-832340431/sub-832340431_ses-832594509_icephys.nwb,52.9,e78a5c8c-a57e-470a-9d7b-c587661bcb39
832598999,sub-832340431/sub-832340431_ses-832598999_icephys.nwb,23.8,fcbb8369-0fd5-40dc-a44f-1f9ab866e6d3
832614721,sub-832340431/sub-832340431_ses-832614721_icephys.nwb,32.0,c235ccd2-d3c2-4700-a0d7-cf08f9a5096b
832635173,sub-832340431/sub-832340431_ses-832635173_icephys.nwb,31.0,2a0b220c-eb60-4dde-b444-dc3fb091853d
832670745,sub-832340431/sub-832340431_ses-832670745_icephys.nwb,27.3,e322b952-37de-4309-a9df-0a1e38b732b4
832689531,sub-832340431/sub-832340431_ses-832689531_icephys.nwb,21.8,08acad20-4f6d-4e9c-ab8f-b7fd3d52ef04
832712668,sub-832340431/sub-832340431_ses-832712668_icephys.nwb,62.2,d789d8d3-eb4e-4d6a-ac2e-b56cfc1b2fce
832731928,sub-832340431/sub-832340431_ses-832731928_icephys.nwb,43.0,ca5d5319-9309-46e3-834f-e58932262f7a
832785657,sub-832340431/sub-832340431_ses-832785657_icephys.nwb,22.8,97bf7f76-5a1b-4784-a396-8c0f672c89cd
